表名,分类,区域,价格,趋势,日期
﻿1、明日鸡苗（单位：元/羽）,鸡苗,山东大厂,停孵,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,鸡苗,山东中小厂,停孵,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,鸡苗,河北,停孵,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,鸡苗,河南,停孵,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,鸡苗,山西,停孵,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,鸡苗,江苏,停孵,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,鸡苗,安徽,停孵,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,鸡苗,吉林,停孵,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,鸡苗,黑龙江,停孵,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,鸡苗,辽宁,停孵,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,鸡苗,内蒙古,停孵,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,种蛋,河北,1.65-1.75,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,种蛋,河南,1.75-1.85,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,种蛋,宁夏,1.75-1.85,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,种蛋,兰州,1.75-1.85,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,种蛋,辽宁,1.65-1.75,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,种蛋,黑龙江,1.70-1.80,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,种蛋,吉林,1.70-1.80,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,817鸡苗,山东德州,停孵,0.00,2018-01-10
﻿1、明日鸡苗（单位：元/羽）,817鸡苗,山东聊城,停孵,0.00,2018-01-10
﻿表名,分类,区域,价格,趋势,日期
﻿2、今日毛鸡（单位：元/斤）,山东,沂南,3.91,-0.04,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,山东,潍坊,3.92,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,山东,青岛,3.92,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,山东,烟台,3.92,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,山东,东营,3.92,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,山东,日照,3.92,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,山东,枣庄,3.90,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,山东,泰安,3.90,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,山东,菏泽（活禽）,4.25,0.05,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,山东,滨州,3.92,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,山东,博兴,3.92,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,山东,德州,3.92,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,山东,临沂,3.91,-0.04,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,河北,廊坊,3.86,-0.04,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,河北,保定,3.90,-0.05,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,河北,石家庄,4.02,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,河北,唐山,3.96,-0.04,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,河南,安阳,3.93,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,河南,新乡,3.93,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,河南,濮阳,3.93,-0.03,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,河南,周口（活禽）,4.20,0.05,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,河南,商丘（活禽）,4.20,0.05,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,河南,开封（活禽）,4.20,0.05,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,沈阳,4.20,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,大连,4.15,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,鞍山,4.15,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,营口,4.15,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,盘锦,4.15,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,辽阳,4.15,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,本溪,4.20,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,铁岭,4.20,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,抚顺,4.20,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,丹东,4.20,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,锦州,4.20,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,朝阳,4.20,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,阜新,4.20,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,辽宁,葫芦岛,4.20,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,817毛鸡,聊城2.8-3.0斤以上,5.20,0.00,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,817毛鸡,小规格1.7-2.2斤,4.60,-0.05,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,817毛鸡,德州3.0斤以上,4.60,-0.10,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,817毛鸡,小规格2.3-2.5斤,4.55,-0.05,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,江苏,宿迁,3.83,0.00,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,吉林,吉林（棚前）,4.10,0.00,2018-01-10
﻿2、今日毛鸡（单位：元/斤）,黑龙江,黑龙江（棚前）,4.10,0.00,2018-01-10
﻿表名,分类,区域,价格,趋势,日期
﻿3、今日山东麻鸡（单位：元/斤）,无,潍坊,6.10,0.00,2018-01-10
﻿3、今日山东麻鸡（单位：元/斤）,无,淄博,6.00,0.00,2018-01-10
﻿3、今日山东麻鸡（单位：元/斤）,无,东营,6.10,0.00,2018-01-10
﻿3、今日山东麻鸡（单位：元/斤）,无,日照,5.90,0.00,2018-01-10
﻿3、今日山东麻鸡（单位：元/斤）,无,枣庄,5.90,0.00,2018-01-10
﻿3、今日山东麻鸡（单位：元/斤）,无,泰安,6.00,0.00,2018-01-10
﻿3、今日山东麻鸡（单位：元/斤）,无,滨州,6.10,0.00,2018-01-10
﻿3、今日山东麻鸡（单位：元/斤）,无,临沂,5.90,0.00,2018-01-10
﻿3、今日山东麻鸡（单位：元/斤）,无,聊城,5.90,0.00,2018-01-10
﻿3、今日山东麻鸡（单位：元/斤）,无,菏泽,5.90,0.00,2018-01-10
﻿3、今日山东麻鸡（单位：元/斤）,无,济南,6.00,0.00,2018-01-10
﻿3、今日山东麻鸡（单位：元/斤）,无,济宁,5.90,0.00,2018-01-10
﻿表名,分类,厂家,价格,趋势,日期
﻿1.明日鸭苗（单位：元/羽）,无,益客（到户）,1.45,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,新希望六和,1.40,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,和康源（到户）,1.45,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,乐港,1.40,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,强英,1.40,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,徐桂,1.40,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,华英,1.40,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,潍坊大江,1.40,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,内蒙古维尔,1.40,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,塞飞亚,1.40,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,粤桂,1.20,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,桂桂,1.00,0.10,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,广西实隆,1.00,0.10,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,广西康旺,1.00,0.10,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,川桂,1.30,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,绵樱,1.30,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,智诚,1.40,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,金枫樱桃谷,1.40,0.20,2018-01-10
﻿1.明日鸭苗（单位：元/羽）,无,种蛋,1.80,0.00,2018-01-10
﻿表名,分类,区域,价格,趋势,日期
﻿2、今日毛鸭（单位：元/斤）,山东,临沂,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,山东,泰安,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,山东,淄博（棚前）,3.17,-0.03,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,山东,滨州（棚前）,3.17,-0.03,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,山东,莱芜,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,山东,肥城,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,山东,郓城,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,山东,枣庄,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,山东,潍坊（棚前）,3.20,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,山东,菏泽,3.25,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,山东,济宁,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,江苏,南京,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,江苏,新沂,3.30,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,江苏,宿迁,3.30,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,江苏,邳州,3.30,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,江苏,徐州,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,江苏,淮安,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,江苏,常州,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,江苏,泰州,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,河南,郑州,3.35,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,河南,南阳,3.35,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,河南,焦作,3.35,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,河南,安阳,3.35,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,河北,石家庄,3.45,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,河北,保定,3.45,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,河北,邢台,3.30,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,空,沧州（肥型棚前）,3.80,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,空,沧州（四系）,4.30,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,安徽,合肥,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,安徽,蚌埠,3.40,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,安徽,宣城,3.45,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,安徽,砀山,3.45,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,湖北,武汉,3.70,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,湖北,黄石,3.60,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,湖北,荆门,3.60,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,江西,南昌,4.90,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,江西,丰城,4.90,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,江西,吉安,5.00,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,四川,成都,4.10,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,四川,乐山,4.00,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,四川,眉山,4.00,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,四川,攀枝花,3.90,0.00,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,广西,南宁旱鸭,5.20,0.20,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,广西,南宁水鸭,5.70,0.40,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,广西,柳州旱鸭,5.20,0.20,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,广西,钦州水鸭,5.70,0.40,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,广西,钦州旱鸭,5.20,0.20,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,广西,桂林旱鸭,5.00,0.10,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,广东,佛山,5.30,0.10,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,广东,惠州,5.30,0.10,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,广东,肇庆,5.30,0.10,2018-01-10
﻿2、今日毛鸭（单位：元/斤）,重庆,重庆,4.20,0.00,2018-01-10
﻿表名,分类,区域,价格,趋势,日期
﻿1、明日鸡苗（单位：元/羽）,鸡苗,山东大厂,停孵,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,鸡苗,山东中小厂,停孵,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,鸡苗,河北,停孵,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,鸡苗,河南,停孵,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,鸡苗,山西,停孵,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,鸡苗,江苏,停孵,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,鸡苗,安徽,停孵,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,鸡苗,吉林,停孵,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,鸡苗,黑龙江,停孵,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,鸡苗,辽宁,停孵,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,鸡苗,内蒙古,停孵,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,种蛋,河北,1.65-1.75,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,种蛋,河南,1.75-1.85,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,种蛋,宁夏,1.75-1.85,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,种蛋,兰州,1.75-1.85,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,种蛋,辽宁,1.65-1.75,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,种蛋,黑龙江,1.70-1.80,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,种蛋,吉林,1.70-1.80,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,817鸡苗,山东德州,停孵,0.00,2018-01-09
﻿1、明日鸡苗（单位：元/羽）,817鸡苗,山东聊城,停孵,0.00,2018-01-09
﻿表名,分类,区域,价格,趋势,日期
﻿2、今日毛鸡（单位：元/斤）,山东,沂南,3.95,-0.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,山东,潍坊,3.95,-0.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,山东,青岛,3.95,-0.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,山东,烟台,3.95,-0.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,山东,东营,3.95,-0.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,山东,日照,3.95,-0.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,山东,枣庄,3.93,-0.02,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,山东,泰安,3.93,-0.02,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,山东,菏泽（活禽）,4.20,0.10,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,山东,滨州,3.95,-0.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,山东,博兴,3.95,-0.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,山东,德州,3.95,-0.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,山东,临沂,3.95,-0.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,河北,廊坊,3.90,-0.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,河北,保定,3.95,-0.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,河北,石家庄,4.05,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,河北,唐山,4.00,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,河南,安阳,3.96,-0.04,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,河南,新乡,3.96,-0.04,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,河南,濮阳,3.96,-0.04,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,河南,周口（活禽）,4.15,-0.15,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,河南,商丘（活禽）,4.15,-0.15,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,河南,开封（活禽）,4.15,-0.15,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,沈阳,4.30,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,大连,4.25,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,鞍山,4.25,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,营口,4.25,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,盘锦,4.25,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,辽阳,4.25,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,本溪,4.30,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,铁岭,4.30,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,抚顺,4.30,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,丹东,4.30,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,锦州,4.30,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,朝阳,4.30,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,阜新,4.30,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,辽宁,葫芦岛,4.30,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,817毛鸡,聊城2.8-3.0斤以上,5.20,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,817毛鸡,小规格1.7-2.2斤,3.65,-1.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,817毛鸡,德州3.0斤以上,4.70,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,817毛鸡,小规格2.3-2.5斤,4.60,-0.05,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,江苏,宿迁,3.83,0.00,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,吉林,吉林（棚前）,4.10,0.10,2018-01-09
﻿2、今日毛鸡（单位：元/斤）,黑龙江,黑龙江（棚前）,4.10,0.10,2018-01-09
﻿表名,分类,区域,价格,趋势,日期
﻿3、今日山东麻鸡（单位：元/斤）,无,潍坊,6.10,0.00,2018-01-09
﻿3、今日山东麻鸡（单位：元/斤）,无,淄博,6.00,0.00,2018-01-09
﻿3、今日山东麻鸡（单位：元/斤）,无,东营,6.10,0.00,2018-01-09
﻿3、今日山东麻鸡（单位：元/斤）,无,日照,5.90,0.00,2018-01-09
﻿3、今日山东麻鸡（单位：元/斤）,无,枣庄,5.90,0.00,2018-01-09
﻿3、今日山东麻鸡（单位：元/斤）,无,泰安,6.00,0.00,2018-01-09
﻿3、今日山东麻鸡（单位：元/斤）,无,滨州,6.10,0.00,2018-01-09
﻿3、今日山东麻鸡（单位：元/斤）,无,临沂,5.90,0.00,2018-01-09
﻿3、今日山东麻鸡（单位：元/斤）,无,聊城,5.90,-0.20,2018-01-09
﻿3、今日山东麻鸡（单位：元/斤）,无,菏泽,5.90,0.00,2018-01-09
﻿3、今日山东麻鸡（单位：元/斤）,无,济南,6.00,0.00,2018-01-09
﻿3、今日山东麻鸡（单位：元/斤）,无,济宁,5.90,0.00,2018-01-09
﻿表名,分类,厂家,价格,趋势,日期
﻿1.明日鸭苗（单位：元/羽）,无,益客（到户）,1.25,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,新希望六和,1.20,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,和康源（到户）,1.25,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,乐港,1.20,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,强英,1.20,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,徐桂,1.20,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,华英,1.20,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,潍坊大江,1.20,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,内蒙古维尔,1.20,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,塞飞亚,1.20,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,粤桂,1.00,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,桂桂,0.90,0.30,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,广西实隆,0.90,0.30,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,广西康旺,0.90,0.30,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,川桂,1.10,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,绵樱,1.10,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,智诚,1.20,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,金枫樱桃谷,1.20,0.20,2018-01-09
﻿1.明日鸭苗（单位：元/羽）,无,种蛋,1.80,0.00,2018-01-09
﻿表名,分类,区域,价格,趋势,日期
﻿2、今日毛鸭（单位：元/斤）,山东,临沂,3.40,0.00,2018-01-09
